order_id,order_date,category,product_name,quantity,unit_price,total_amount,state,customer_satisfaction,delivery_days
ORD-00001,2023-04-13,Electronics,Electronics_Product_5,3,639.72,1919.16,Pennsylvania,5,5
ORD-00002,2024-03-11,Sports,Sports_Product_23,4,60.34,241.36,California,3,6
ORD-00003,2023-09-28,Clothing,Clothing_Product_13,3,68.23,204.69,North Carolina,3,1
ORD-00004,2023-04-17,Home & Kitchen,Home & Kitchen_Product_15,3,496.01,1488.03,Massachusetts,3,6
ORD-00005,2023-03-13,Electronics,Electronics_Product_27,1,1979.43,1979.43,Illinois,4,6
ORD-00006,2024-12-01,Home & Kitchen,Home & Kitchen_Product_7,4,333.19,1332.76,North Carolina,5,6
ORD-00007,2023-01-21,Beauty,Beauty_Product_32,2,22.87,45.74,Arizona,3,8
ORD-00008,2024-09-06,Beauty,Beauty_Product_26,1,142.96,142.96,Arizona,4,2
ORD-00009,2023-05-02,Books,Books_Product_38,4,48.66,194.64,Massachusetts,4,5
ORD-00010,2024-04-11,Home & Kitchen,Home & Kitchen_Product_34,4,95.17,380.68,Pennsylvania,4,7
ORD-00011,2023-08-03,Books,Books_Product_14,2,48.65,97.3,New York,3,5
ORD-00012,2023-11-27,Toys,Toys_Product_5,4,17.83,71.32,Arizona,5,5
ORD-00013,2024-04-03,Toys,Toys_Product_39,3,29.85,89.55,Massachusetts,4,4
ORD-00014,2023-03-29,Clothing,Clothing_Product_13,1,128.46,128.46,California,3,5
ORD-00015,2024-01-08,Electronics,Electronics_Product_8,1,1130.96,1130.96,Texas,3,3
ORD-00016,2023-04-10,Toys,Toys_Product_13,3,36.23,108.69,Ohio,3,3
ORD-00017,2024-10-25,Electronics,Electronics_Product_18,4,1533.12,6132.48,Massachusetts,4,2
ORD-00018,2023-05-11,Home & Kitchen,Home & Kitchen_Product_18,3,468.56,1405.68,Washington,5,3
ORD-00019,2024-10-23,Books,Books_Product_15,2,14.2,28.4,North Carolina,4,1
ORD-00020,2023-11-05,Home & Kitchen,Home & Kitchen_Product_47,4,258.12,1032.48,California,2,8
ORD-00021,2023-12-10,Sports,Sports_Product_8,3,145.73,437.19,Georgia,3,5
ORD-00022,2024-05-06,Toys,Toys_Product_11,4,44.18,176.72,Ohio,3,7
ORD-00023,2024-02-18,Electronics,Electronics_Product_40,1,461.02,461.02,Ohio,5,5
ORD-00024,2024-01-21,Toys,Toys_Product_35,2,15.95,31.9,New York,5,5
ORD-00025,2023-07-11,Clothing,Clothing_Product_6,1,73.12,73.12,New York,5,8
ORD-00026,2023-10-04,Electronics,Electronics_Product_43,4,1703.81,6815.24,Florida,3,6
ORD-00027,2023-06-10,Toys,Toys_Product_46,4,71.03,284.12,New York,2,6
ORD-00028,2024-04-04,Clothing,Clothing_Product_42,3,37.03,111.09,Texas,4,4
ORD-00029,2023-11-10,Toys,Toys_Product_4,1,94.19,94.19,Pennsylvania,3,2
ORD-00030,2023-01-22,Electronics,Electronics_Product_14,1,517.98,517.98,Washington,3,6
ORD-00031,2023-09-10,Clothing,Clothing_Product_40,2,45.98,91.96,Michigan,4,6
ORD-00032,2024-07-14,Electronics,Electronics_Product_34,4,1643.95,6575.8,Ohio,3,8
ORD-00033,2024-04-19,Beauty,Beauty_Product_48,4,114.83,459.32,California,3,2
ORD-00034,2023-02-28,Clothing,Clothing_Product_49,2,45.08,90.16,Florida,3,1
ORD-00035,2024-05-25,Electronics,Electronics_Product_46,2,997.34,1994.68,Florida,4,3
ORD-00036,2024-11-12,Sports,Sports_Product_49,1,66.03,66.03,New Jersey,4,2
ORD-00037,2024-04-20,Clothing,Clothing_Product_35,3,12.88,38.64,Pennsylvania,3,5
ORD-00038,2024-11-30,Home & Kitchen,Home & Kitchen_Product_49,4,450.72,1802.88,Georgia,2,3
ORD-00039,2023-07-09,Beauty,Beauty_Product_38,1,118.1,118.1,Washington,3,4
ORD-00040,2024-11-17,Electronics,Electronics_Product_12,3,1209.95,3629.85,Ohio,4,9
ORD-00041,2024-07-16,Electronics,Electronics_Product_28,3,1508.91,4526.73,Michigan,3,5
ORD-00042,2024-07-20,Sports,Sports_Product_31,3,291.52,874.56,Florida,2,3
ORD-00043,2023-09-01,Electronics,Electronics_Product_1,1,942.96,942.96,North Carolina,4,2
ORD-00044,2024-05-19,Home & Kitchen,Home & Kitchen_Product_35,2,450.41,900.82,Washington,4,5
ORD-00045,2023-05-11,Sports,Sports_Product_17,2,245.6,491.2,Pennsylvania,3,3
ORD-00046,2024-04-29,Home & Kitchen,Home & Kitchen_Product_8,2,457.75,915.5,Washington,3,5
ORD-00047,2024-10-08,Home & Kitchen,Home & Kitchen_Product_35,1,201.54,201.54,Virginia,2,4
ORD-00048,2023-01-21,Electronics,Electronics_Product_47,2,199.31,398.62,Illinois,5,2
ORD-00049,2023-06-16,Clothing,Clothing_Product_17,2,40.63,81.26,North Carolina,4,5
ORD-00050,2023-10-01,Books,Books_Product_43,1,15.08,15.08,Massachusetts,4,1
ORD-00051,2024-01-23,Books,Books_Product_48,1,34.17,34.17,Virginia,4,2
ORD-00052,2024-08-23,Sports,Sports_Product_6,1,142.69,142.69,Michigan,5,4
ORD-00053,2023-11-12,Home & Kitchen,Home & Kitchen_Product_16,1,49.0,49.0,Virginia,3,4
ORD-00054,2023-01-14,Beauty,Beauty_Product_24,4,65.78,263.12,Massachusetts,3,5
ORD-00055,2023-08-30,Sports,Sports_Product_16,1,107.65,107.65,New York,2,3
ORD-00056,2023-12-12,Electronics,Electronics_Product_34,2,1086.02,2172.04,New Jersey,3,8
ORD-00057,2024-07-18,Beauty,Beauty_Product_46,3,125.77,377.31,Virginia,5,5
ORD-00058,2023-12-06,Clothing,Clothing_Product_32,3,105.09,315.27,North Carolina,3,4
ORD-00059,2023-04-02,Clothing,Clothing_Product_42,4,50.89,203.56,New Jersey,4,6
ORD-00060,2024-01-02,Books,Books_Product_5,4,48.46,193.84,Pennsylvania,5,3
ORD-00061,2024-03-30,Beauty,Beauty_Product_11,3,142.28,426.84,Washington,5,4
ORD-00062,2024-03-03,Toys,Toys_Product_18,3,99.79,299.37,California,4,2
ORD-00063,2024-05-23,Clothing,Clothing_Product_47,1,44.42,44.42,Florida,3,6
ORD-00064,2023-02-04,Home & Kitchen,Home & Kitchen_Product_47,2,391.5,783.0,North Carolina,4,2
ORD-00065,2023-07-25,Sports,Sports_Product_41,2,43.56,87.12,North Carolina,3,4
ORD-00066,2023-03-22,Books,Books_Product_21,4,20.1,80.4,Illinois,4,4
ORD-00067,2024-07-15,Toys,Toys_Product_12,3,22.19,66.57,North Carolina,4,4
ORD-00068,2024-01-23,Clothing,Clothing_Product_35,2,50.6,101.2,Illinois,4,4
ORD-00069,2023-01-02,Sports,Sports_Product_48,4,23.16,92.64,Michigan,3,7
ORD-00070,2024-01-25,Home & Kitchen,Home & Kitchen_Product_8,1,289.61,289.61,Ohio,5,7
ORD-00071,2024-07-19,Electronics,Electronics_Product_43,3,1122.24,3366.72,California,4,3
ORD-00072,2023-04-16,Electronics,Electronics_Product_29,1,490.85,490.85,Massachusetts,4,3
ORD-00073,2024-04-21,Beauty,Beauty_Product_37,2,45.56,91.12,Washington,5,2
ORD-00074,2024-12-03,Clothing,Clothing_Product_21,4,141.82,567.28,Illinois,3,5
ORD-00075,2024-02-06,Sports,Sports_Product_2,4,173.28,693.12,Pennsylvania,3,7
ORD-00076,2024-12-30,Electronics,Electronics_Product_23,2,160.53,321.06,Texas,4,4
ORD-00077,2024-07-09,Electronics,Electronics_Product_47,2,1953.26,3906.52,Florida,3,2
ORD-00078,2023-06-11,Electronics,Electronics_Product_20,3,852.04,2556.12,North Carolina,4,2
ORD-00079,2023-07-21,Home & Kitchen,Home & Kitchen_Product_37,2,207.54,415.08,Pennsylvania,4,3
ORD-00080,2023-09-27,Books,Books_Product_31,1,49.54,49.54,Ohio,4,4
ORD-00081,2023-09-28,Electronics,Electronics_Product_31,2,1597.95,3195.9,New York,5,8
ORD-00082,2024-03-31,Toys,Toys_Product_24,4,65.75,263.0,California,3,1
ORD-00083,2024-04-06,Home & Kitchen,Home & Kitchen_Product_1,4,112.74,450.96,New Jersey,4,5
ORD-00084,2024-12-27,Home & Kitchen,Home & Kitchen_Product_17,4,307.55,1230.2,California,2,5
ORD-00085,2023-09-09,Home & Kitchen,Home & Kitchen_Product_2,4,157.62,630.48,Michigan,4,3
ORD-00086,2024-12-02,Beauty,Beauty_Product_11,4,13.85,55.4,Washington,3,4
ORD-00087,2023-10-23,Electronics,Electronics_Product_16,3,1369.14,4107.42,Texas,5,8
ORD-00088,2024-12-25,Home & Kitchen,Home & Kitchen_Product_33,2,198.38,396.76,Washington,4,4
ORD-00089,2024-12-20,Books,Books_Product_43,2,14.84,29.68,New Jersey,5,5
ORD-00090,2023-12-04,Sports,Sports_Product_9,2,71.37,142.74,Virginia,3,8
ORD-00091,2023-02-22,Electronics,Electronics_Product_36,2,209.12,418.24,Georgia,3,8
ORD-00092,2023-08-05,Home & Kitchen,Home & Kitchen_Product_39,2,336.95,673.9,Georgia,4,6
ORD-00093,2023-07-07,Clothing,Clothing_Product_12,2,27.08,54.16,Pennsylvania,2,7
ORD-00094,2024-01-15,Electronics,Electronics_Product_36,4,1983.33,7933.32,Georgia,5,6
ORD-00095,2024-05-07,Sports,Sports_Product_23,1,254.51,254.51,Washington,5,8
ORD-00096,2023-02-10,Clothing,Clothing_Product_39,3,185.61,556.83,Massachusetts,3,4
ORD-00097,2023-06-06,Electronics,Electronics_Product_7,4,680.88,2723.52,Arizona,4,8
ORD-00098,2023-01-15,Electronics,Electronics_Product_5,4,1852.3,7409.2,Washington,4,1
ORD-00099,2023-03-06,Beauty,Beauty_Product_33,3,110.7,332.1,Illinois,3,5
ORD-00100,2024-06-04,Books,Books_Product_31,1,29.95,29.95,Pennsylvania,5,5
ORD-00101,2023-12-10,Books,Books_Product_20,1,22.49,22.49,Virginia,4,4
ORD-00102,2023-05-09,Electronics,Electronics_Product_26,3,1667.96,5003.88,New York,4,5
ORD-00103,2024-10-09,Beauty,Beauty_Product_17,3,122.81,368.43,Texas,3,2
ORD-00104,2024-04-16,Books,Books_Product_35,2,31.65,63.3,Illinois,3,7
ORD-00105,2023-03-04,Home & Kitchen,Home & Kitchen_Product_19,4,292.73,1170.92,Pennsylvania,4,3
ORD-00106,2023-05-19,Electronics,Electronics_Product_22,3,413.95,1241.85,New Jersey,5,2
ORD-00107,2024-05-13,Electronics,Electronics_Product_23,4,1124.55,4498.2,New Jersey,2,5
ORD-00108,2024-08-15,Clothing,Clothing_Product_14,1,26.35,26.35,New Jersey,5,9
ORD-00109,2024-01-27,Books,Books_Product_6,3,46.96,140.88,Arizona,2,5
ORD-00110,2024-11-05,Home & Kitchen,Home & Kitchen_Product_7,1,312.61,312.61,New Jersey,5,6
ORD-00111,2024-02-23,Beauty,Beauty_Product_43,4,32.54,130.16,New York,4,8
